input,rand_x,rand_y,abs_rel,sq_rel,rms_sq_lin,rms_sq_log,d1,d2,d3
9_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,79.10980948155404,71.0689230769768,0.16847297549247742,0.1075979545712471,0.290766179561615,0.07426729053258896,0.668262779712677,0.9412100911140442,0.9731405377388
0_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,17.62199618599533,75.93736230416104,0.10536351054906845,0.06743200123310089,0.2014816403388977,0.026997035369277,0.8729228377342224,0.9706656336784363,0.9930760860443115
83_area_31_color_0_Left_Down_0.0,-74.0713496306545,-54.72308476455387,0.225469708442688,0.1944458782672882,0.6807178258895874,0.12599016726016998,0.5890411138534546,0.8439244627952576,0.9327396750450134
42_area_31_color_0_Left_Down_0.0,-81.85908799610314,-31.440540462612418,0.21562251448631287,0.20185871422290802,0.8084233403205872,0.09321187436580658,0.647457480430603,0.8728904128074646,0.9506848454475403
96_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-20.038087855893238,-41.15717428069873,0.1373150646686554,0.05591509863734245,0.13221536576747894,0.03401144593954086,0.8232120275497437,0.9704259634017944,0.9977561831474304
46_area_31_color_0_Left_Down_0.0,59.17275164734727,-25.784401195153933,0.21657131612300873,0.1720219850540161,0.5452616810798645,0.12726455926895142,0.5678540468215942,0.834080696105957,0.9368718266487122
2_area_31_color_0_Left_Down_0.0,-39.43178825627146,7.685294968484726,0.19222363829612732,0.08791591227054596,0.17130209505558014,0.05959983915090561,0.6291705965995789,0.936113715171814,0.9964362978935242
42_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-64.63363950454273,54.395456535727135,0.15368817746639252,0.14540250599384308,0.6718481779098511,0.0568278469145298,0.7738659977912903,0.9512795209884644,0.978624165058136
7_area_31_color_0_Left_Down_0.0,-76.58088413764125,87.63964858809311,0.18556179106235504,0.11946559697389603,0.3597796857357025,0.060833677649497986,0.6501662731170654,0.9435471296310425,0.9872974753379822
81_area_31_color_0_Left_Down_0.0,49.004058473398345,-54.23117732384897,0.20521001517772675,0.11445415019989014,0.24962718784809113,0.0764668881893158,0.6031962037086487,0.9062387943267822,0.9754821062088013
73_area_31_color_0_Left_Down_0.0,-89.00601891775156,56.783057121870144,0.22329357266426086,0.14471955597400665,0.38751840591430664,0.07052978873252869,0.5986038446426392,0.9330821633338928,0.9820180535316467
33_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,37.234321892571074,41.22129024737771,0.155874103307724,0.09305450320243835,0.299791544675827,0.043930280953645706,0.7381189465522766,0.9648252725601196,0.9932950735092163
20_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,48.82866240347025,-76.67196268786374,0.15029259026050568,0.08747721463441849,0.2344314604997635,0.04457059130072594,0.7589930295944214,0.9650394320487976,0.9904130697250366
57_area_31_color_0_Left_Down_0.0,-25.47616886203093,-69.14356928547664,0.28991982340812683,0.2933824956417084,0.8713364601135254,0.12192728370428085,0.523176372051239,0.8045682311058044,0.9400861263275146
146_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,65.35861665760683,22.193662828960427,0.2114390730857849,0.17850926518440247,0.5103657841682434,0.07240263372659683,0.7376883029937744,0.8941265344619751,0.9564041495323181
79_area_31_color_0_Left_Down_0.0,-30.438355526523146,-78.55949694851574,0.2380736768245697,0.1981511414051056,0.62856125831604,0.12168071419000626,0.5342406630516052,0.7936060428619385,0.9466732740402222
56_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-34.0231820911808,-31.46700203518553,0.17339913547039032,0.10599325597286224,0.34616243839263916,0.05952628329396248,0.6244239807128906,0.9338358640670776,0.996078372001648
57_area_31_color_0_Left_Down_0.0,41.329112100851546,24.760344843938356,0.2547007203102112,0.24937070906162262,0.5491316914558411,0.09413106739521027,0.5719154477119446,0.8822777271270752,0.9609541893005371
46_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,69.69829366373878,-5.0013134708491265,0.23063258826732635,0.12450750917196274,0.29013732075691223,0.0864633098244667,0.5862616896629333,0.923935055732727,0.9647984504699707
92_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-68.4730357311057,38.384061700139114,0.16019955277442932,0.05971068516373634,0.11906271427869797,0.04780757799744606,0.732279360294342,0.9607749581336975,0.9936132431030273
21_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,46.94130875104153,11.029895562509324,0.17445842921733856,0.07373782992362976,0.1157342866063118,0.051661133766174316,0.8026418089866638,0.9244330525398254,0.9774681329727173
89_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,48.77409239182097,-1.1167926544096645,0.15478327870368958,0.11268249899148941,0.38636329770088196,0.04322214424610138,0.7987404465675354,0.9543501734733582,0.9933674335479736
51_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,4.091909288758927,-13.042616695461064,0.07609628140926361,0.029584050178527832,0.10515320301055908,0.010501758195459843,0.9646866917610168,0.9968605041503906,0.9995645880699158
39_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-85.42455718606287,-70.57954314120519,0.17637570202350616,0.12672144174575806,0.40729016065597534,0.06200997158885002,0.7074424028396606,0.9279080033302307,0.9835816621780396
11_area_31_color_0_Left_Down_0.0,-84.34274657638784,24.553874027480475,0.16718518733978271,0.14247529208660126,0.5982862114906311,0.0644867792725563,0.7601203918457031,0.9495129585266113,0.9755908846855164
138_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-33.4159234062612,1.542724409646496,0.11456899344921112,0.06144598126411438,0.17336955666542053,0.02318337932229042,0.8844419717788696,0.9839677810668945,0.9981945753097534
34_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,73.36196530669673,-45.12739875320251,0.24596557021141052,0.18870805203914642,0.5013331174850464,0.0951395034790039,0.5539554357528687,0.8551619648933411,0.9663605093955994
110_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-16.131073853586642,45.99920493774877,0.13964450359344482,0.049865640699863434,0.09501153975725174,0.030775288119912148,0.8099071383476257,0.9822596311569214,0.999160647392273
151_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-48.81633021150796,-76.14361623081726,0.1237906664609909,0.07715315371751785,0.2787264585494995,0.030065327882766724,0.8110486268997192,0.9827609658241272,0.9980828166007996
4_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-37.84473847552176,-60.9801682942792,0.2062007635831833,0.09902629256248474,0.21628405153751373,0.0675085261464119,0.5174263119697571,0.9506736993789673,0.9993285536766052
