point,x,y,z,abs_rel_error
22,-0.6855518693235865,-0.55,0.4769891345376079,0.22722847759723663
88,-0.48384468997886504,0.77,-0.41592585394425297,0.21645790338516235
63,0.8863889253260228,0.27,0.37605142342421527,0.21562333405017853
60,0.850660805595189,0.20999999999999996,-0.4819504059798521,0.1822740137577057
62,-0.401811450411341,0.25,-0.8809356153081419,0.3196110725402832
25,-0.8304836655326296,-0.49,-0.2649469405059952,0.1199636459350586
95,-0.09494092190679554,0.9100000000000001,0.40359165173165745,0.2137097865343094
49,-0.20994188111981057,-0.010000000000000018,-0.97766272637954,0.308437705039978
50,0.8152062920736045,0.01,0.5790843646340359,0.24216465651988983
13,0.6675062690706619,-0.73,-0.1467493807529188,0.232188418507576
28,-0.3055644949304832,-0.42999999999999994,-0.8495471378551508,0.24311918020248413
63,0.8863889253260228,0.27,0.37605142342421527,0.12183213979005814
11,0.1909562397791545,-0.77,0.6087985828575869,0.2231094241142273
78,0.22103383354893766,0.5700000000000001,-0.7913558266839642,0.19638341665267944
69,-0.5673624854052105,0.3900000000000001,0.7252584436977084,0.18299712240695953
3,0.22363749507608174,-0.9299999999999999,0.2916955104147056,0.15674655139446259
0,0.14106735979665894,-0.99,0.0,21151363072.0
76,0.8335538861569624,0.53,0.15584581762955937,0.13366460800170898
8,0.5239190311901138,-0.83,0.19133438989583781,0.09591707587242126
85,-0.6892192113800709,0.71,0.14448833400878117,0.14466094970703125
2,0.027298673793297194,-0.95,-0.31105430781316495,0.14175516366958618
74,-0.08467967930963359,0.49,0.8675997648178667,7.832108497619629
32,0.15866307873945915,-0.35,0.9232150494033967,0.19892196357250214
42,0.9535255164458032,-0.15000000000000002,0.26132181211442057,0.2662748694419861
31,0.5024554327134931,-0.37,-0.7814336428236862,0.20476287603378296
17,-0.7592852649071572,-0.6499999999999999,0.03139882951430177,0.09658531844615936
41,-0.5248530201618092,-0.16999999999999993,-0.8340439480189442,0.15074647963047028
65,0.4464120976654115,0.31000000000000005,-0.8394142237643861,0.21526935696601868
63,0.8863889253260228,0.27,0.37605142342421527,0.11198054254055023
65,0.4464120976654115,0.31000000000000005,-0.8394142237643861,0.3945193886756897
4,-0.40827033374843424,-0.91,-0.07221727342500583,0.2607579827308655
52,0.6473587655569581,0.05000000000000004,-0.7605436402051965,0.18092411756515503
