input,rand_x,rand_y,abs_rel,sq_rel,rms_sq_lin,rms_sq_log,d1,d2,d3
19_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,19.358073342258905,-59.30565773628753,0.2124175727367401,0.09568040072917938,0.17016859352588654,0.07058406621217728,0.5919342041015625,0.91790771484375,0.9926528930664062
32_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-78.29071326264969,80.79939670559997,0.13918377459049225,0.07495085150003433,0.2116263508796692,0.03405601531267166,0.8717085719108582,0.961505651473999,0.9900422096252441
125_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,83.81376595342067,55.51152266096301,0.15770289301872253,0.10124310106039047,0.25176844000816345,0.044487979263067245,0.7806071043014526,0.9504420757293701,0.9841518402099609
75_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-35.16952154879328,-72.4190194788509,0.1749936193227768,0.10614953935146332,0.23603129386901855,0.04538769647479057,0.7459127902984619,0.9495288133621216,0.9950662851333618
42_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,33.161944772188235,-10.772551126871761,0.173870250582695,0.06894917041063309,0.14356201887130737,0.05100906640291214,0.6319310665130615,0.9695761799812317,0.9996615648269653
172_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-68.03311772793981,-0.8681561799713648,0.3025803864002228,0.1892525851726532,0.34750860929489136,0.08426714688539505,0.3858097791671753,0.924531877040863,0.9989089369773865
13_area_31_color_0_Left_Down_0.0,-83.81006619926069,73.67767237418076,0.17916211485862732,0.10611772537231445,0.28264525532722473,0.0675782635807991,0.6446232199668884,0.9166005253791809,0.985494077205658
154_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-43.41960331199695,29.254011183716756,0.18897639214992523,0.10585419833660126,0.23556280136108398,0.04572424665093422,0.7238582372665405,0.9593393206596375,0.997247040271759
81_area_31_color_0_Left_Down_0.0,-33.89200630390603,3.612243812005943,0.18535646796226501,0.09609899669885635,0.18881817162036896,0.05411212518811226,0.6905222535133362,0.9621608257293701,0.990515410900116
86_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,8.407850281790331,-56.72619800540513,0.2122553288936615,0.14931651949882507,0.3910161554813385,0.05072716996073723,0.6559309959411621,0.973035991191864,0.9991583228111267
46_area_31_color_0_Left_Down_0.0,84.52523299762055,49.52390820500062,0.15414322912693024,0.10593938827514648,0.33557334542274475,0.05375215783715248,0.7908377647399902,0.9297655820846558,0.972502589225769
9_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,79.10980948155404,71.0689230769768,0.1805896759033203,0.09902143478393555,0.21638600528240204,0.05894768610596657,0.7235395908355713,0.961188554763794,0.9814343452453613
0_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,17.62199618599533,75.93736230416104,0.10504791140556335,0.06716887652873993,0.1988476663827896,0.026438402011990547,0.8777234554290771,0.9716196060180664,0.9927683472633362
83_area_31_color_0_Left_Down_0.0,-74.0713496306545,-54.72308476455387,0.24684762954711914,0.18774747848510742,0.5885941386222839,0.11275248229503632,0.50992751121521,0.8692313432693481,0.9486512541770935
42_area_31_color_0_Left_Down_0.0,-81.85908799610314,-31.440540462612418,0.24471066892147064,0.252030611038208,1.1128346920013428,0.14810997247695923,0.43119490146636963,0.8379172086715698,0.9237956404685974
96_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-20.038087855893238,-41.15717428069873,0.15603086352348328,0.06805117428302765,0.1443079560995102,0.03606753051280975,0.7752142548561096,0.972700297832489,0.9973745942115784
46_area_31_color_0_Left_Down_0.0,59.17275164734727,-25.784401195153933,0.272994726896286,0.1974862962961197,0.46887657046318054,0.10376804322004318,0.4760250747203827,0.8766107559204102,0.9660633206367493
2_area_31_color_0_Left_Down_0.0,-39.43178825627146,7.685294968484726,0.19516035914421082,0.08855252712965012,0.16674074530601501,0.05862215906381607,0.6337173581123352,0.9402841925621033,0.9964977502822876
42_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-64.63363950454273,54.395456535727135,0.15827900171279907,0.14190998673439026,0.6250079870223999,0.05361679196357727,0.7602590322494507,0.9556792974472046,0.9801164269447327
7_area_31_color_0_Left_Down_0.0,-76.58088413764125,87.63964858809311,0.2704720199108124,0.1939726322889328,0.5728557109832764,0.1632847636938095,0.3246520161628723,0.7273203134536743,0.9375038146972656
